"","B0","Bcurr","BcurrB0","Fprev","Uprev","MSY","Bmsy","BcurrBmsy","BmsyB0","Fmsy","Umsy","UprevUmsy"
"5%",47758.62,21853.22,0.328447293629453,0.0155200427155353,0.0154002274539147,1803.30191780169,9681.07819449035,1.10142484855511,0.160521756810623,0.0295328332465826,0.0291010006480848,0.175939661856247
"25%",57364.3,27194.6,0.419767517374613,0.0209914762618913,0.0207726887503616,2418.25438917174,13363.9625608768,1.57448257602258,0.214281135633958,0.0476056361226287,0.0464902572597759,0.280684231600914
"50%",65468.7,32243.1,0.494672165819804,0.0252392085421548,0.0249233624942731,2992.96002735608,16310.9895501219,1.99422221781539,0.254395269886199,0.0657225698513944,0.0636093887544345,0.394295670170735
"75%",74841.875,38668.55,0.593626685524833,0.0298123342971932,0.0293723300185552,3618.41914227059,20390.3666512023,2.52161695995915,0.297519322346398,0.0862113236552537,0.0825996576594552,0.562679815494193
"95%",90531.195,52341.435,0.770373178911265,0.0373080810597675,0.0366207092096745,4743.71596214948,27164.0697771948,3.53703929598146,0.363569112729909,0.125993561203443,0.118379469444251,0.925110324114711
