"","B0","Bcurr","BcurrB0","Fprev","Uprev","MSY","Bmsy","BcurrBmsy","BmsyB0","Fmsy","Umsy","UprevUmsy"
"5%",13237.95,9819.1845,0.425634211865453,0.0282027477601818,0.0278087627725055,518.239810188813,2860.12631373049,1.48161639572792,0.160521680200651,0.0751900555054759,0.0724328194004993,0.110011955606068
"25%",17156.525,12305.225,0.582891762133889,0.0363350489286513,0.0356828540700805,749.015346438145,4056.33081897328,2.19780485845392,0.214282067331351,0.120430902822825,0.113461657474,0.186738123397435
"50%",20512.85,14491.2,0.715478040874787,0.0429918922187416,0.0420808433654235,920.623876278772,5122.64977135907,2.87576522602155,0.25439487320206,0.17000427305488,0.156338788421975,0.268244870392924
"75%",23831.45,17156.925,0.898940836251077,0.050527966898885,0.0492726605912158,1138.15901759537,6333.83552677682,3.81872041161704,0.297519025974129,0.240946198828924,0.214116093274519,0.388646400874256
"95%",30001.525,22138.15,1.2632297804217,0.0633217192995818,0.0613585538194875,1482.79337075714,8676.0061026146,5.661374382869,0.363569033092324,0.392825920141811,0.324853731477198,0.666319780920859
