"","B0","Bcurr","BcurrB0","Fprev","Uprev","MSY","Bmsy","BcurrBmsy","BmsyB0","Fmsy","Umsy","UprevUmsy"
"5%",13298.175,7700.275,0.356102021581542,0.0179086388509841,0.0177492321257085,514.111861340906,2829.38468385812,1.29069486749317,0.160521534916171,0.0528496573378588,0.0514773942672314,0.106068699927732
"25%",17038.925,11087.875,0.539854639011444,0.0246138554089085,0.0243134045902792,740.25523945151,4027.76159945409,2.07773947474054,0.214280341381513,0.0838712490977993,0.0804503586802029,0.185208230637916
"50%",20370.45,14105.05,0.710240758815515,0.0313010420494815,0.0308162358109129,917.655609234957,5048.41541140297,2.80601887048,0.25439551224961,0.118492401706156,0.111741435119252,0.274319953844448
"75%",23855.6,17903.575,0.922025492480522,0.0398434376225075,0.0390601255721794,1131.09809452514,6289.84556969763,3.81682097840299,0.297519026668676,0.165223359141473,0.15229565957305,0.407140351416202
"95%",29455.8,24561.725,1.31576013439518,0.0569858036774992,0.055392516008054,1482.48798757166,8651.99300898715,5.84256379836377,0.363568123115001,0.258948934102849,0.228137561936769,0.777343865934918
